VocabularyId;Ordinal;English;Persian
8;2;State-of-the-art technology;تکنولوژی مدرن و طبق آخرین متدها
9;1;Distance learning requires commitment from students because it proceeds in the absence of teachers.;آموزش راه دور نیازمند تعهد از طرف دانشجویان است زیرا در غیاب معلمین دنبال می شود.
9;2;I was impressed by the energy and commitment shown by the players.;من تحت تاثیر انرژی و تعهد بازیکنان قرار گرفتم. 
10;1;Students will develop bad study habits and lag behind their peers.;دانش آموزان عادات بد می گیرند و از همکلاس های خود عقب می مانند. 
10;2;Denmark is lagging behind the rest of Europe.;دانمارک از بقیه اروپا عقب مانده است. 
11;1;Sitting in front of the computer for several hours in succession might cause boredom, fatigue and other physical problems.;نشستن جلوی کامپیوتر برای چند ساعت متوالی ممکن است سبب کسلی، خستگی و مشکلات فیزیکی شود.
11;2;She won the championship four times in succession.;او چهار بار متوالی قهرمان شد. 
12;1;Learners will organize teamwork and develop interpersonal relationships.;دانش آموزان فعالیت های تیمی شان را سازماندهی کرده و روابط میان فردی شان افزایش می یابد.
12;2;Interpersonal skills;مهارت های میان فردی. 
13;1;Virtual learning suits the self-motivated and self-directed students. ;آموزش راه دور برای دانش آموزان خودکار و دارای انگیزه مناسب است. 
13;2;This gives learners guidance in their self-directed learning.;این به دانشجویان در یادگیری خودکار خود راهنمایی می دهد.
14;1;Schools have become increasingly vocation-oriented in recent years.;مدارس در سالهای اخیر به سمت کسب کار و حرفه متمایل شده اند. 
14;2;At 17 she found her true vocation as a writer;در سن 17 سالگی او نویسندگی را به عنوان حرفه مناسب خود انتخاب کرد. 
15;1;Some academics advocate that sport and music classes should be cancelled in exchange for more academic classes. ;برخی اساتید براین باور هستند که کلاس های موسیقی و ورزش باید کنسل شده و جای خود را به کلاس های آکادمیک تر بدهند. 
15;2;Students also will be able to have direct contact with professional academics and researchers.;دانشجویان همچنین می توانند با اساتید و محققین حرفه ای در ارتباط مستقیم باشند. 
16;1;A student excelling in a subject is far more marketable in the job market.;دانش آموزی که در یک رشته برتر از بقیه است، در بازار کار جای بهتری خواهد داشت.
16;2;Rick has always excelled at foreign languages.;ریک همیشه در زبان های خارجی از بقیه بوده است. 
17;1;Students are heavily loaded with learning tasks.;دانشجویان بسیار درگیر یادگیری مهارت ها هستند. 
18;1;The top priority for educators today is to recommend sports and music as extracurricular activities. ;امروزه اولویت اول برای مسئولین مدارس و اساتید، پیشنهاد دادن ورزش و موسیقی به عنوان فعالیت های فوق برنامه می باشد. 
18;2;Most families lack the money to get their children involved in extracurricular activities.;بیشتر خانواده ها پول کافی ندارند تا فرزندان خود را به فعالیت های فوق برنامه مشغول کنند. 
19;1;Some students suspend their study for a year to obtain work experience and some go straight into university. ;برخی دانشجویان درس شان را برای یک سال متوقف کرده تا تجربه کاری کسب کنند و برخی مستقیم به دانشگاه می روند. 
20;1;Coming fresh out of high school, students are not in a strong position to undertake early employment. ;پس از بیرون آمدن از دبیرستان، دانش آموزان در موقعیت محکمی نیستند که کار زودهنگام را تقبل کنند.
20;2;He undertook to pay the money back in six months.;او تقبل کرد تا پول را در شش ماه برگرداند. 
21;1;Exposure to an unpredictable and daunting world will easily shake their confidence.;در معرض دنیای غیرقابل پیش بینی و ترسناک بودن، اعتماد به نفس آنها را از بین می برد. 
21;2;His confidence was badly shaken.;اعتماد او به صورت بدی از بین رفت. 
22;1;One problem of early employment is that most young people are not able to make a correct career decision. ;یکی از مشکلات آغار به کار زودهنگام آنست که بیشتر جوانان قادر نخواهند بود که یک تصمیم درست برای شغل خود بگیرند. 
23;1;Choosing a career requires sufficient knowledge of one’s own strengths and aptitudes.;انتخاب یک شغل نیاز به دانش کافی از نقاط قوت و مهارت های ذاتی دارد. 
23;2;He has a natural aptitude for teaching.;او مهارت ذاتی برای آموزش دارد. 
24;1;Too many young people disengage from learning.;جوانان زیادی از یادگیری دوری می کنند. 
24;2;The side effects of disengagement from schooling might not be significant in the first several years.;اثرات سوء دوری از مدرسه ممکن است در چندسال اول بسیار محسوس نباشد. 
25;1;A private school is very often associated with quality service, professional teaching staff and excellent facilities. ;یک مدرسه غیرانتفاعی اغلب از خدماتی با کیفیت، گروه مدرسین حرفه ای و امکانات عالی برخوردار است. 
25;2;The trouble is, the private schools fees are too high these days.;مشکل این است که شهریه مدارس غیرانتفاعی امروزه زیاد از حد بالاست.
26;1;Private schools outperform public schools based on their more flexible and advanced academic and extracurricular programmers. ;مدارس غیرانتفاعی به خاطر برنامه های آکادمیک و غیرانتفاعی منعطف و پیشرفته شان از مدارس دولتی موفقتر هستند. 
26;2;Spanish students outperformed U.S. students in science.;دانش آموزان اسپانیایی از دانش آموزان آمریکایی در علوم موفق تر هستند.
27;1;A private school fosters students’ physical, emotional and social well-being. ;یک مدرسه غیرانتقاعی رفاه فیزیکی، احساسی و اجتماعی دانش آموزان را بالا می برد. 
27;2;These classroom activities are intended to foster children's language skills.;این فعالیت های کلاسی برای بالا بردن مهارت های زبانی کودکان درنظر گرفته شده اند. 
28;1;Parents have to pay extremely high tuition for their children.;پدر و مادرها شهریه های بسیار بالایی را برای کودکان خود می پردازند. 
28;2;Because of tuition fees, a private school is accessible only to those who are able to pay, rather than those who are able to learn. ;بخاطر شهریه، یک مدرسه غیرانتفاعی تنها برای آنهایی در دسترس است که قدرت پرداخت دارند، تا آنهایی که قدرت یادگیری دارند. 
29;1;Most of private school students are well-mannered and have a positive self-image. ;بیشتر دانش آموزان مدارس غیرانتفاعی بسیار خوش رفتار هستند و تصویر مثبتی از خود دارند. 
30;1;A private school benefits some sections of school-age populations only.;یک مدرسه غیرانتفاعی تنها به بخش هایی از جمعیت مدرسه ای سود می رسانند. 
30;2;children below school age;کودکان پایین تر از سن مدرسه
31;1;She received a well-rounded education.;او آموزش جامعی دید. 
31;2;He has a well-rounded background in management.;او پیش زمینه جامعی در مدیریت دارد. 
32;1;Students will gain competence in a wide range of skills.;دانش آموزان در محدوده وسیعی از مهارت ها صلاحیت کسب می کنند. 
32;2;An analysis of students’ feedback enables teachers to enhance their competence. ;تحلیلی از فیدبک دانش آموزان به معلمین این امکان را می دهد که صلاحیت خود را افزایش دهند. 
33;1;Schools have to deliver the core skills.;مدارس باید مهارت های اصلی را آموزش دهند (انتقال دهند).
33;2;Young people need advanced skills in core subjects like English, math and science, as well as the ability to use computers.;جوانان به مهارت های پیشرفته ای در دروس اصلی مثل انگلیسی، ریاضیات و علوم درکنار توانایی استفاده از کامپیوتر نیاز دارند. 
34;1;Despite the great value of hardworking, students of all ages need time to play and relax. ;علیرغم ارزش بالای سخت کاری، دانش آموزان در تمام سنین به زمانی برای بازی و استراحت نیاز دارند. 
34;2;a hard-working teacher.;یک معلم سخت کوش. 
35;1;Failing to cope with stress might disable students from maintaining their interest in studying. ;عدم توانایی در مقابله با استرس ممکن است دانشجویان را از حفظ علاقه در تحصیل بازدارد. 
35;2;Most education systems today fail to provide the necessary facilities students need.;بیشتر سیستم های آموزشی امروز نمی توانند امکانات لازمی را که دانش آموزان نیاز دارند فراهم کنند. 
36;1;Studying hard is critical to a student’s success, helping him or her acquire more knowledge in his or her youth.;زیاد درس خواندن برای موفقیت یک دانش آموز ضروری است و به او کمک می کند که در جوانی خود دانش بیشتری کسب کند. 
36;2;the best way of acquiring new skills and knowledge is through the Internet. ;بهترین راه کسب مهارت ها و دانش جدید از طریق اینترنت است. 
37;1;Most of the factors that have influence on job satisfaction are extrinsic. ;بیشتر فاکتورهایی که بر رضایت شغلی تاثیر دارند، بیرونی هستند. 
37;2;A combination of intrinsic and extrinsic factors are necessary for job satisfaction. ;ترکیبی از فاکتورهای درونی و بیرونی برای رضایت شغلی لازم هستند. 
38;1;Income, housing, paid holiday, perks, bonus and other job benefits are main elements an employee will normally look into when evaluating whether a job is desirable or not. ;درآمد، مسکن، تعطیلات با حقوق، مزایای کاری، پاداش و مزایای دیگر کاری عوامل اصلی هستندکه یک کارمند معمولاً وقتی یک شغل را از نظر مطلوب بودن ارزیابی می کند، بررسی می کند. 
38;2;I only eat here because it's free - one of the perks of the job;من تنها اینجا غذا می خورم چون مجانی است – یکی از مزایای شغل من است. 
39;1;People crave for a positive self-image and to have their contribution valued and appreciated;مردم اشتیاق زیادی برای یک تصویر مثبت از خود و اینکه آیا سهم همکاری آنها قدردانی می شود دارند. 
39;2;A positive self-image can help you achieve anything you decide to do;یک تصویر مثبت از خود می تواند به شما در رسیدن به چیزهایی که تصمیم دارید کمک کند. 
40;1;The employees with a positive outlook on life are more likely to achieve higher job satisfaction irrespective of the job. ;کارمندانی که نگرش مثبت به زندگی دارند، صرفنظر از خود شغل، احتمال رسیدن به رضایت شغلی بالاتری دارند.
40;2;She still has an optimistic outlook for the future.;او هنوز یک نگرش خوش بینانه به آینده دارد. 
41;1;The boss announced that there is going to be some downsizing of the workforce;رئیس اعلام کرد که قرار است یک تعدیل نیرو انجام شود. 
41;2;The airline has downsized its workforce by 30%.;خط هوایی به اندازه 30% نیروی کار خود را تعدیل کرد. 
42;1;You were suddenly made redundant.;شما ناگهان تعدیل نیرو شدید. 
42;2;The remaining 50 percent were made redundant;50 درصد بقیه تعدیل نیرو شدند.
43;1;These days, job hopping has practically become a way of life. Gone is the idea of spending four decades at one company.;مروزه تغییر شغل عملاً به یک شیوه تاثیرگذار در زندگی تبدیل شده است. ایده اینکه چهار دهه را در یک شرکت بگذرانی، فراموش شده اند
44;1;The most important reason behind a jobholder’s motive for a new job is that the in current job he or she cannot make the best of his or her abilities. ;مهمترین دلیل برای یک کارمند در تغییر به یک شغل جدید این است که در شغل فعلی او نمی تواند از توانایی های خود به خوبی استفاده کند. 
45;1;This can lessen the possibility of a brighter job prospect.;این می تواند امکان یک موفقیت شغلی آینده را کاهش دهد. 
45;2;Your career prospects are better if you have a degree.;آینده شغلی تو با داشتن یک مدرک دانشگاهی بهتر می شود. 
46;1;Job-hopping, meanwhile, assists one to survive the keen competition  in labour market;تغییر از شغلی به شغل دیگر همچنین، به شخص کمک می کند تا در رقابت شدید در بازار کار با موفقیت باقی بماند. 
46;2;We won the contest in the face of keen competition;ما با وجود رقابت شدید در مبارزه پیروز شدیم. 
47;1;People are living in a fast-changing world and a once stable job is now vulnerable;افراد در دنیایی با تغییرات سریع زندگی می کنند و شغل هایی که زمانی همیشگی بودند، الان ناپایدار و متزلزل شده اند. 
48;1;There's a danger of becoming complacent if you win a few games.;اگر چند بازی را ببرید، خطر رضایت کاذب از خود وجود دارد. 
48;2;Any employee, if complacent about the current employment, would be faced with threats posed by others. ;هر کارمندی، اگر از شغل فعلی خود راضی باشد، با تهدیدهایی از طرف دیگر روبروست. 
49;1;By comparison, taking the initiative to obtain a better job can drive people to increase skills and thereby improving the chance of continued employment. ;در مقابل، اقدام برای رسیدن به یک شغل بهتر می تواند افراد را به افزایش مهارت ها سوق داده و از اینرو شانس شغل دائم و پایدار را برای آنها بهبود می بخشد. 
50;1;At home, parents can teach children how to stick to a budget. If a country experiences an economic crisis, these skills are invaluable. ;در خانه پدر و مادرها می توانند به کودکان بیاموزند که چطوری از بودجه خود خارج نشوند. اگر یک کشور با بحران اقتصادی روبرو شود، این مهارت ها بسیار مفید خواهد بود. 
50;2;A strong government needs good economic policies. ;یک دولت قوی نیاز به سیاست های اقتصادی خوب دارد. 
51;1;If children develop a strong work ethic from an early age then this should ensure that they have enough money when they reach retirement age. ;اگر کودکان از سالهای اول یک اخلاق کاری قوی پیدا کنند، می توان این اطمینان را داشت که آنها وقتی به سن بازنشستگی می رسند پول کافی خواهند داشت. 
51;2;They instilled the work ethic into their children;آنها اخلاق کاری را به بچه ها می آموزند. 
52;1;Employers in manual job industries are more likely to employ people with a good working knowledge of the job and what it entails. ;کارفرمایان در صنایع شغل های یدی بیشتر افرادی را استخدام می کنند که دانش کاری بیشتری در مورد شغل خود و آنچه این شغل به آن نیاز دارد، داشته باشند. 
52;2;People in manual occupations have a lower life expectancy.;افرادی که در مشاغل یدی هستند انتظار عمر کوتاهتری دارند
53;1;Being a nurse in a busy hospital is a demanding job - you don't get much free time.;پرستار بودن در یک بیمارستان شلوغ یک شغل سخت است – وقت آزاد زیادی پیدا نمی کنید. 
53;2;Climbing is physically demanding.;کوه پیمایی از نظر فیزیکی بسیار سخت است. 
54;1;They work unsocial hours for low wages.;آنها در ازای حقوق های پایین، خارج از ساعات اداری کار می کنند. 
54;2;Many hospital staff have to work unsocial hours.;بسیاری از کارمندان بیمارستان باید خارج از ساعات اداری کار کنند. 
55;1;Some company directors have awarded themselves huge pay rises;برخی مدیران شرکت ها برای خود افزایش حقوق درنظر گرفته اند. 
55;2;an average pay rise of 8.5 percent;افزایش حقوق میانگین 8.5 درصد
56;1;For the sake of employees' well-being, legislation limiting the number of hours worked should be strictly enforced.;به خاطر رضایت کارمندان، قانونی که تعداد ساعات کاری را محدود کند باید اعمال شود 
56;2;We are responsible for the well-being of all our patients.;ما مسئول رضایت تمام بیماران هستیم. 
56;3;A good meal promotes a feeling of well-being;یک وعده غذایی خود حس رضایت و سلامت را بالا می برد. 
57;1;There is a local shortage of skilled labour.;کمبود نیروی کار ماهر وجود دارد. 
57;2;Labor costs are steadily increasing.;هزینه های نیروی کار تدریجاً درحال افزایش است. 
58;1;We need to find ways of increasing productivity.;ما لازم است راههای برای بالا بردن راندمان بیابیم. 
58;2;High/low productivity levels in manufacturing ;سطح بالا/پایین راندمان در تولید
59;1;I couldn't look after him anymore; the strain was too much for me.;من دیگه نمی تونستم از او نگهداری کنم. استرس اون برای من بیش از حد بود. 
59;2;Despite generally better working conditions and higher pay, workers today seem to suffer more than ever before from strain and stress-related illnesses.;علیرغم شرایط کاری نسبتاً بهتر و حقوق بالاتر، کارمندان امروزه به نظر می رسد از بیماری های استرسی بیشتر از قبل رنج می برند. 
60;1;Work-related stress stems partly from ever-increasing workloads;استرس کاری تا حدودی از بار کاری درحال افزایش نتیجه می شود. 
60;2;Companies today demand that employees cope with heavier workloads while working to tighter and tighter deadlines.;شرکت ها امروزه نیاز دارند که کارمندان خود را با بارهای کاری سنگین تر وفق دهند درحالیکه با فرجه های بیشتری روبرو هستند. 
61;1;The number of bankruptcies in the first half of the year soared by 60%.;تعداد ورشکستگی ها در شش ماهه اول سال به اندازه 60% افزایش یافت. 
61;2;Many state-operated companies had experienced difficulties and some faced bankruptcy.;بسیاری از شرکت های دولتی مشکلاتی را تجربه کرده و برخی هم با ورشکستگی روبرو شدند. 
62;1;Systems ought to be implemented to avoid workloads and unrealistic deadlines.;سیستم هایی باید اجرا شود که از بارهای کاری و فرجه های غیرواقعی زمانی جلوگیری کند. 
62;2;Working under pressure to meet a deadline;کار کردن تحت فشار برای رسیدن به فرجه
63;1;In order to keep ahead in business, companies need to invest in new technology.;برای موفقیت در کار، شرکت ها لازم است در تکنولوژی جدید سرمایه گذاری کنند. 
63;2;Keeping ahead at work is the most important thing to her at the moment.;موفقیت و پیشرفت در کار درحال حاضر مهمترین چیز برای اوست. 
64;1;Employees should be given adequate training and support so that the changeover to new technologies is relatively stress-free.;به کارکنان باید آموزش و پشتیبانی کافی داده شود تا تغییر به تکنولوژی های جدید نسبتاً بدون استرس باشد. 
64;2;The country faces rising unemployment as it prepares for the changeover to a market economy.;وقتی کشور خود را برای تغییر به یک اقتصاد بازاری آماده کند، با یک افزایش بیکاری روبرو می شود. 
65;1;Perhaps managers should take a more judicious approach to the introduction of new technology so as to avoid unnecessary changes.;شاید مدیران باید یک رویکرد عادلانه تری را برای معرفی تکنولوژی جدید اتخاذ کنند تا از تغییرات غیرضروری اجتناب شود. 
65;2;Organizations which take a positive approach to creative thinking;سازمان هایی که یک رویکرد مثبت را در برابر تفکر خلاق اجرا می کنند
66;1;Today's lack of job security and the consequent worry about the future contribute significantly to stress in the workplace.;امروزه امنیت شغلی پایین و نگرانی متعاقب آن در ارتباط با آینده سبب ایجاد استرس در محیط کار می شود. 
66;2;I didn't see the point of moving my family to London without any job security.;من هدف خانواده ام را از تغییر مکان به لندن بدون امنیت شغلی را نفهمیدم. 
67;1;Long-term unemployment in early adult life can cause feelings of alienation, leading to higher levels of crime.;بیکاری بلندمدت، در اوایل دوران جوانی می تواند حس انزوا را بوجود بیاورد، که باعث بالا رفتن جرم و جنایت میشود. 
67;2;Large-scale unemployment among young people is one of the most serious problems facing many governments.;بیکاری وسیع بین جوانان یکی از مهمترین مشکلات پیشروی بسیاری از دولت هاست. 
67;3;There is no blanket solution for the problem of youth unemployment;هیچ راهکاری جامعی برای مشکل بیکاری جوانان وجود ندارد
68;1;Information technology and automation have brought about a reduction in the number of unskilled jobs.;فن آوری اطلاعات و اتوماسیون یک کاهش در تعداد شغل های بدون مهارت را به همراه داشته است. 
68;2;In this list, you can find the unskilled, the young, and those made redundant from manufacturing.;در این لیست شما می توانید افراد بدون مهارت، جوانان، و آنهایی که از کار تعدیل شده اند را بیابید. 
69;1;To encourage employers to provide more job opportunities for school leavers, the government should pay subsidies to those who take on young people.;برای تشویق کارفرمایان در ایجاد فرصت های شغلی بیشتر برای فارغ التحصیلان مدارس، دولت باید به آنهایی که افراد جوان را استخدام می کند، سوبسید پرداخت کند. 
69;2;How can we bring about a change in the company? We can take on 50 new staff this year.;چطور می توانیم یک تغییر را در شرکت مان بوجود آوریم؟ ما می توانیم 50 نیروی جدید استخدام کنیم. 
70;1;The training scheme aims to make people more employable.;هدف طرح آموزش، بالا بردن تعداد افراد واجدالشرایط برای استخدام است. 
70;2;These young employees could shadow experienced members of staff with the aim of gaining work experience.;این کارمندان جوان می توانند کارهای اعضای با تجربه را به هدف کسب تجربه کاری زیرنظر بگیرند. 
71;1;He was unqualified for the job.;او برای کار صلاحیت نداشت. 
71;2;Modern society and the media create unrealistic expectations among unqualified young people.;جامعه مدرن و رسانه ها، انتظارات غیرواقعی را بین جوانان فاقد صلاحیت بوجود می آورد.
72;1;Doctors have traditionally enjoyed high social status.;دکترها از قدیم  از سطح بالای اجتماعی برخوردار بوده اند. 
72;2;The low economic status of single parent families.;سطح پایین اقتصادی در خانواده های تک پدرومادری. 
72;3;School leavers need to know that certain jobs have an important part to play in society, although often perceived to be low status.;فارغ التحصیلان مدارس باید بدانند که برخی شغل ها یک نقش مهم در جامعه ایفا می کنند، اگرچه اغلب به عنوان شغل های سطح پایین تلقی می شوند. 
73;1;With the emergence of other mass media, radio as a medium may be at stake in the future. ;با ظهور رسانه های گروهی دیگر، رادیو به عنوان یک رسانه ممکن است در آینده درخطر باشد. 
73;2;The role of the news media in forming public opinion is very important.;نقش رسانه های خبری در شکل دادن عقاید عمومی بسیار مهم است. 
74;1;One of the main reasons why radio would not become obsolete in the near future is that driving is common across the world and the radio is a regular device installed in a car. ;یکی از دلایل اصلی که رادیو در آینده نزدیک از مد نمی افتد این است که رانندگی در دنیا بسیار متداول است و رادیو یک وسیله معمول است که در یک ماشین نصب می شود. 
74;2;Will computers render books obsolete?;آیا کامپیوترها، کتاب ها را از مد خواهند انداخت. 
75;1;Listening to the radio while driving is an effective means of taking full advantage of time and gaining the latest information. ;گوش دادن به رادیو در حین رانندگی، یک وسیله خوب برای بهره بردن از زمان و گرفتن آخرین اطلاعات است. 
75;2;The only means of communication was sign language.;تنها وسیله ارتباطی، زبان اشکال بود. 
75;3;For most people, the car is still their main means of transport.;برای بیشتر مردم، ماشین هنوز وسیله اصلی حمل و نقل است. 
75;4;Art as a means of expression;هنر به عنوان یک وسیله بیان احساس 
75;5;You might analyze this claim by means of the scientific methods.;شما می توانید این ادعا را بوسیله روش های علمی تحلیل کنید. 
76;1;Access to the papers is restricted to senior management.;دسترسی به اسناد فقط به مدیران ارشد محدود می شود. 
76;2;For those people who have no time in watching TV, radio provides easy access to information. ;برای افرادی که وقت دیدن تلویزیون ندارند، رادیو دسترسی ساده ای به اطلاعات را فراهم میکند. 
77;1;Another overt advantage is that a radio set is portable. ;یکی دیگر از مزایای آشکار این است که رادیو قابل حمل است. 
77;2;There's a portable CD player in the kitchen.;یک دستگاه پخش سی دی قابل حمل در آشپزخانه وجود دارد. 
78;1;The advent of other technologies has also sustained the popularity of radio. ;ظهور تکنولوژی های دیگر همچنین محبوبیت رادیو را حفظ کرده است. 
78;2;The advent of computers has changed people’s life. ;ظهور کامپیوترها زندگی مردم را تغییر داده است. 
79;1;Radio is unable to convey messages with sight and motion as television or Internet does. ;رادیو نمی تواند پیام ها را با تصویر و حرکت همانند تلویزیون و اینترنت انتقال دهد. 
79;2;All this information can be conveyed in a simple diagram.;تمام این اطلاعات می تواند در یک دیاگرام ساده بیان شود. 
80;1;high-tech industries;صنایع با تکنولوژی بالا
80;2;The Improvement in hi-tech devices;پیشرفت در ابزارهایی با تکنولوژی بالا
81;1;Because of their prevalence, televisions and films are among those media that potentially affect, change or mould people’s thoughts and behaviours. ;تلویزیون ها و فیلم ها به خاطر شیوع شان، جزء رسانه هایی هستند که به صورت بالقوه بر افکار و رفتار افراد تاثیر گذاشته، آنها را تغییر داده و شکل می دهد. 
81;2;Drug abuse is the most prevalent problem among patients in the hospital.;استفاده نادرست از دارو، شایع ترین مشکل بین بیماران در این بیمارستان است. 
82;1;Some programmes should be censored so as to curb violence. ;بعضی برنامه ها را باید برای محدود کردن خشونت سانسور کرد. 
82;2;The information given to the press was carefully censored by the Ministry of Defence.;اطلاعات داده شده در نشریات بوسیله وزارت دفاع به دقت سانسور شد.
83;1;Audiences imitate their role models. ;مخاطبین از الگوهای خود تقلید می کنند. 
83;2;I'm not sure that this film will appeal to British audiences.;من مطمئن نیستم این فیلم مورد توجه مخاطبین انگلیسی قرار بگیرد. 
84;1;The interview was broadcast live across Europe.;مصاحبه به صورت زنده درسرتاسر اروپا پخش شد. 
84;2;Aiming at a high audience rating, TV programme producers are inclined to broadcast crime reports. ;به هدف رسیدن به مخاطب بیشتر، تولیدکنندگان برنامه های تلویزیونی تمایل به پخش گزارش از جرم و جنایات را دارند. 
84;3;In a nationwide TV broadcast, the prime minister explained why he was resigning.;در یک برنامه تلویزیونی ملی، نخست وزیر توضیح داد که چرا او استعفا داد. 
85;1;Television can be highly educational because children can learn about subjects, like music or sport; things which they cannot read about in books.;تلویزیون می تواند بسیار آموزنده باشد زیرا کودکان می توانند درباره موضوعاتی مانند موسیقی و ورزش در آن بیاموزند؛ موضوعاتی که آنها نمی توانند در کتاب ها بیاموزند. 
85;2;A shop selling educational toys for 7 to 11 year-olds.;مغازه ای که اسباب بازی های آموزنده برای کودکان 7 تا 11 سال می فروشد. 
86;1;The pervasive influence of television;تاثیر فراگیر تلویزیون
86;2;Any invention as pervasive as television is bound to have some harmful effects.;هر اختراعی که به اندازه تلویزیون فراگیر باشد، احتمالاً اثرات منفی خواهد داشت. 
87;1;Children are not as sociable as previous generations of children, and as a result, some of them may feel lonelier and more isolated.;کودکان به اندازه کودکان نسل های قبل اجتماعی نیستند و در نتیجه برخی از آنها ممکن است احساس تنهایی بیشتری کرده و منزوی تر شوند. 
87;2;Children of very rich parents can grow up isolated from the rest of society.;کودکانی که پدر و مادرهای پولدار دارند ممکن است از بقیه جامعه منزوی شوند. 
88;1;There is the issue of whether or not children should be exposed to such violent images;مسئله این است که آیا کودکان باید درمعرض چنین صحنه های خشنی قرار بگیرند.
88;2;Many people are exposed to fumes from industrial processes.;بسیاری از مردم در معرض دود فرآیندهای صنعتی هستند. 
89;3;Violent images on television can be potentially disturbing for children and that some of them may be severely traumatised by seeing such things.;تصاویر خشن در تلویزیون می توانند برای کودکان بسیار آزاردهنده باشند و برخی از آنها نیز ممکن است در اثر دیدن این صحنه ها شدیداً آسیب روحی ببینند. 
89;4;These children have been traumatized by the violence in their home.;این کودکان به خاطر خشونت در خانه شان آسیب روحی بسیاری دیده اند. 
90;1;Viewers are not always forewarned that a report may include distressing pictures.;به تماشاگران همیشه درباره اینکه یک گزارش ممکن است صحنه های دلخراش داشته باشد، از قبل آگاهی داده نمی شود. 
90;2;We'd been forewarned of the dangers of travelling at night.;به ما درباره خطرات مسافرت در شب از قبل اطلاع داده شده بود. 
91;1;Before we admitted television into our homes, we never found it difficult to occupy our spare time.;قبل از اینکه ما تلویزیون را به خانه هایمان بپذیریم، هیچوقت پرکردن اوقات فراغت برایمان سخت نبود. 
91;2;He spends as much of his spare time as possible with his family.;او تا جاییکه می تواند با خانواده اش اوقات فراغتش را می گذراند. 
92;1;Now all our free time is regulated by the media, especially television. We rush home or gulp down our meals to be in time for this or that programme.;الان ما اوقات فراغتمان را با رسانه ها و مخصوصاً تلویزیون پر می کنیم. ما زود به خانه می آییم و غذایمان را با سرعت می خوریم تا برای این یا آن برنامه سروقت برسیم. 
92;2;Sweating helps regulate body temperature.;تعرق به تنظیم دمای بدن کمک می کند. 
93;1;Television demands absolute silence and attention.;تلویزیون نیاز به سکوت و توجه کاملی دارد. 
93;2;Angry demonstrators demanded the resignation of two senior officials.;تظاهرات کنندگان خشن، تقاضای استعفای دو مقام ارشد را داشتند. 
94;1;It is now standard practice for mother to keep the children quiet by putting them in front of the TV set. ;در حال حاضر این برای مادران یک رویه معمول شده است که کودکان را با گذاشتن آنها در مقابل تلویزیون ساکت نگاه دارند. 
94;2;It is common practice in many countries for pupils to repeat a year if their grades are low.;در بسیاری کشورها این یک رویه معمول برای کودکان شده است که اگر نمرات پایینی داشته باشند، یک سال را دوباره تکرار کنند. 
95;1;Part of the reason commercials are effective is that they are, in a sense, invisible.;بخشی از دلیل آنکه تبلیغات تلویزیونی موثر هستند این است که به نوعی غیرمستقیم و نامحسوس هستند. 
